mois,dju_chauffage
2010-01-01,499.2
2010-02-01,371.4
2010-03-01,294.5
2010-04-01,165.3
2010-05-01,140.9
2010-06-01,22.6
2010-07-01,0
2010-08-01,11.1
2010-09-01,52.3
2010-10-01,172.2
2010-11-01,310
2010-12-01,512
2011-01-01,392
2011-02-01,304.8
2011-03-01,243.1
2011-04-01,77.6
2011-05-01,43.4
2011-06-01,31.4
2011-07-01,15
2011-08-01,11.9
2011-09-01,23.2
2011-10-01,127.6
2011-11-01,226.6
2011-12-01,312.7
2012-01-01,336
2012-02-01,435.9
2012-03-01,201.9
2012-04-01,230.3
2012-05-01,83.3
2012-06-01,35
2012-07-01,12.4
2012-08-01,2.4
2012-09-01,58
2012-10-01,154.6
2012-11-01,296.2
2012-12-01,345.9
2013-01-01,429.2
2013-02-01,402.2
2013-03-01,376.6
2013-04-01,209.5
2013-05-01,158.4
2013-06-01,43.6
2013-07-01,0.6
2013-08-01,5
2013-09-01,41.5
2013-10-01,105
2013-11-01,303.9
2013-12-01,349.5
2014-01-01,324.4
2014-02-01,281.9
2014-03-01,223.9
2014-04-01,135.5
2014-05-01,100.2
2014-06-01,19.1
2014-07-01,8.3
2014-08-01,19.3
2014-09-01,16
2014-10-01,92.3
2014-11-01,222.6
2014-12-01,368.2
2015-01-01,392
2015-02-01,365.7
2015-03-01,275.5
2015-04-01,141.1
2015-05-01,91.5
2015-06-01,15.8
2015-07-01,6.9
2015-08-01,6.1
2015-09-01,71.9
2015-10-01,176.9
2015-11-01,195
2015-12-01,248.1
2016-01-01,364.4
2016-02-01,321.6
2016-03-01,321.1
2016-04-01,212.1
2016-05-01,88.1
2016-06-01,27.5
2016-07-01,5.7
2016-08-01,3.2
2016-09-01,11.7
2016-10-01,176
2016-11-01,285.6
2016-12-01,390.8
2017-01-01,467.9
2017-02-01,278.4
2017-03-01,206.1
2017-04-01,182.6
2017-05-01,75
2017-06-01,9.4
2017-07-01,1
2017-08-01,6.8
2017-09-01,62.6
2017-10-01,99.4
2017-11-01,282.6
2017-12-01,369
2018-01-01,303.4
2018-02-01,432.6
2018-03-01,314.3
2018-04-01,119.7
2018-05-01,55.9
2018-06-01,8.1
2018-07-01,0
2018-08-01,3.3
2018-09-01,34.3
2018-10-01,122.4
2018-11-01,282.5
2018-12-01,325.9
2019-01-01,404.9
2019-02-01,268.3
2019-03-01,233.1
2019-04-01,168.5
2019-05-01,117.9
2019-06-01,24.4
2019-07-01,0
2019-08-01,1.7
2019-09-01,26.7
2019-10-01,133.7
2019-11-01,282.6
2019-12-01,327.3
2020-01-01,339
2020-02-01,249.6
2020-03-01,268.6
2020-04-01,81.4
2020-05-01,65.7
2020-06-01,20.6
2020-07-01,0.9
2020-08-01,4.5
2020-09-01,34.3
2020-10-01,157.5
2020-11-01,227.2
2020-12-01,336.8
2021-01-01,396.7
2021-02-01,302.8
2021-03-01,271
2021-04-01,228.3
2021-05-01,138.3
2021-06-01,11.1
2021-07-01,0.2
2021-08-01,5.1
2021-09-01,21
2021-10-01,150.7
2021-11-01,310.8
2021-12-01,323.8
